geocode,regrowth_2001_2016,agr_pers,veg_pers,nreg_agr,nreg_veg,population2016,pop_g,lpw2016,lpw_g,Std_temp,precip,clay,ph,embargos_def,roads_km,silos_ton,lat,long,FNP,UF
3109907,3313.41,10084.4500,2525.6500,0.1335,0.3809,11287,0.017069231,3867,0.155146667,0.54783057,1188.536875,36.93,52.59,0,13.374,0,-19.342511,-44.403441,46,31
3110004,6075.05,12436.9700,36382.3700,0.1645,0.0630,44066,0.012253846,3867,0.155146667,0.445136215,1020.060625,42.79,50.25,0,13.207,0,-19.791765,-43.61554,46,31
3111101,29808.78,278002.9100,61528.3400,0.0451,0.1758,20052,0.002846154,7015.89875,0.144013333,0.333625913,1332.675625,28.31,54.29,1,149.241,0,-19.468414,-49.826318,44,31
3111150,9282.35,18057.9500,21997.0300,0.1199,0.1006,4020,0.0065,1847.508125,0.227073333,0.660424106,931.563125,27.99,55.77,0,0,0,-16.508751,-44.763321,49,31
3111200,3391.31,45032.4900,3541.0600,0.0386,0.3380,54272,0.007784615,5537.69,0.153453333,,,,,,,10398,-20.89121,-45.431119,42,31
3111309,4090.25,17432.1600,2340.3400,0.1041,0.4639,11871,0.003761538,5554.065,0.152613333,0.399732723,1341.465625,38.21,55.11,0,0,0,-21.089475,-45.740344,42,31
3111408,14101.86,93897.0100,20452.4400,0.0589,0.2233,7783,0.023030769,8203.34,0.1458,0.306547984,1460.851875,32.76,54.28,0,55.289,17350,-19.713413,-48.647837,44,31
3111507,17924.92,38832.3800,20381.1300,0.1723,0.2839,15289,0.012076923,5940.28875,0.210406667,0.394696086,1414.93,47.07,52,0,37.412,36488,-19.604858,-46.197051,45,31
3111606,5713.61,62120.6900,4945.8900,0.0424,0.3573,28970,0.007130769,5546.239375,0.15374,0.396256966,1341.33375,41.6,52.76,1,0,32760,-21.17767,-45.677424,42,31
3111804,4524.08,69201.2300,9513.8100,0.0200,0.1294,12062,0.003192308,4446.77625,0.1644,0.337944769,1210.61125,35.05,55.15,1,7.767,20650,-18.785641,-49.201576,82,31
3112000,11289.08,53593.3300,9334.8800,0.1097,0.4144,16281,0.004953846,2190.88125,0.17684,0.437983542,1248.990625,39.53,51.53,1,14.893,3064,-20.722259,-45.374324,85,31
3112307,18171.57,26846.6000,55833.3900,0.1908,0.1018,37606,0.014061538,3778.356875,0.137473333,0.548105449,883.145625,43.21,52.1,1,5.525,0,-17.629667,-42.463412,47,31
3112406,7327.87,17220.7800,6928.2700,0.2109,0.3991,7516,-0.000461538,5625.258125,0.15062,0.382358906,1439.460625,44.64,51.68,1,0,5240,-20.652966,-47.040774,42,31
3112505,1341.14,6372.1100,2034.4900,0.0903,0.2372,9609,0.014361538,3867,0.155146667,0.495892714,1224.38875,43.3,53.02,0,0,0,-19.570064,-44.167699,46,31
3112604,4025.71,52857.0600,5713.5000,0.0188,0.1503,16183,0.006584615,9413.35,0.133406667,0.337045373,1316.9,45.56,58.49,1,13.059,43897,-18.707744,-49.583362,44,31
3112703,12600.29,53583.6500,25432.8200,0.0939,0.1792,15157,0.010569231,1844.96375,0.227093333,0.706086633,822.71,35.14,58.43,1,10.009,0,-16.136242,-43.66466,49,31
3112802,6804.61,23340.1000,18352.8500,0.1092,0.1349,8648,0.008615385,5543.995,0.153506667,0.420340636,1600.041875,40.63,52.66,2,0,10345,-20.612657,-46.144192,42,31
3113503,13735.02,7067.4700,126067.5400,0.4220,0.0393,10783,0.0069,3778.43125,0.13748,0.605099165,922.6125,42.49,53,1,77.926,0,-17.49413,-43.057712,47,31
3114006,3537.99,28263.2600,4566.2800,0.0668,0.3071,11518,0.006584615,3867.349375,0.155086667,0.477184451,1383.57875,41.07,51.98,0,0,0,-20.493868,-44.964468,46,31
3114204,7238.72,29024.8500,9035.2100,0.1341,0.3322,21941,0.016076923,3867,0.155146667,0.522173343,1159.658125,39.73,51.96,1,0,3640,-20.190423,-44.712989,46,31
3114303,22961.44,89161.7500,23420.0000,0.0742,0.2338,32059,0.004884615,5091.115625,0.224573333,0.425162224,1264.93875,45.33,52.05,0,27.791,46791,-18.907661,-46.185185,45,31
