geocode,lat,long,drop_4balance
2205300,-7.0996225,-43.540623,0
2205458,-3.487157,-42.45265,0
2205508,-4.8217941,-42.680859,0
2205524,-10.420464,-44.173885,0
2205532,-8.775832,-43.279499,0
2205557,-4.5081204,-42.621982,0
2205607,-7.2957588,-43.927849,0
2205706,-2.9382373,-41.592071,0
2205805,-3.6319697,-42.421397,0
2205854,-3.5848311,-42.553284,0
2205904,-8.2291876,-44.049827,0
2206001,-7.0763319,-43.894554,0
2206100,-3.7096964,-42.590717,0
2206209,-4.2812412,-42.784832,0
2206605,-9.6042455,-45.030366,0
2206654,-9.8832338,-43.942399,0
2206696,-3.2906598,-42.026083,0
2206720,-5.5216651,-42.985756,1
2207405,-8.5567377,-44.464622,0
2207504,-5.9936665,-43.038733,0
2207603,-10.315691,-44.568454,0
2207702,-2.8814471,-41.745017,0
2207793,-5.2468205,-42.591152,0
2207850,-7.9549632,-43.449579,0
2208502,-3.8600402,-42.697427,0
2208551,-6.9563712,-44.057378,0
2208700,-9.5242597,-44.454751,0
2208858,-9.9302107,-44.812691,0
2208908,-7.9735726,-45.344859,0
2209203,-8.9908289,-45.67534,0
2209302,-9.0450465,-44.105866,0
2209757,-10.088241,-45.321597,0
2209971,-3.8014541,-42.488309,0
2210623,-10.654342,-44.833361,0
2210631,-7.7608443,-44.11254,0
2211001,-5.0463765,-42.732365,0
2211100,-4.5947365,-42.795362,0
2211209,-7.7918933,-44.569572,0
2901403,-11.996639,-44.647724,0
2902500,-12.657125,-44.44023,0
2902708,-11.224285,-43.48507,0
2903201,-12.009956,-45.520009,0
2903904,-13.271963,-43.434827,0
2904407,-12.499374,-43.824764,0
